,polarization,avg_degree,num_states,color
462,11,17,2.0,1
463,11,18,2.0,1
464,11,19,2.0,1
465,11,20,1.0,1
466,11,21,2.0,1
467,11,22,1.0,1
468,11,23,1.0,1
469,11,24,1.0,1
470,11,25,1.0,1
471,11,26,1.0,1
472,11,27,1.0,1
473,11,28,1.0,1
474,11,29,1.0,1
475,11,30,2.0,1
476,11,31,2.0,1
477,11,32,1.0,1
478,11,33,1.0,1
479,11,34,1.0,1
480,11,35,1.0,1
481,11,36,2.0,1
482,11,37,2.0,1
483,11,38,2.0,1
484,11,39,1.0,1
485,11,40,2.0,1
486,11,41,2.0,1
487,11,42,1.0,1
488,11,43,2.0,1
489,11,44,1.0,1
490,11,45,2.0,1
491,11,46,1.0,1
492,11,47,1.0,1
493,11,48,1.0,1
494,11,49,2.0,1
495,12,5,2.0,1
496,12,6,1.0,1
497,12,7,1.0,1
498,12,8,1.0,1
499,12,9,1.0,1
500,12,10,1.0,1
501,12,11,1.0,1
502,12,12,1.0,1
503,12,13,1.0,1
504,12,14,2.0,1
505,12,15,2.0,1
506,12,16,1.0,1
507,12,17,1.0,1
508,12,18,1.0,1
509,12,19,1.0,1
510,12,20,1.0,1
511,12,21,1.0,1
512,12,22,2.0,1
513,12,23,1.0,1
514,12,24,1.0,1
515,12,25,1.0,1
516,12,26,1.0,1
517,12,27,1.0,1
518,12,28,1.0,1
519,12,29,1.0,1
520,12,30,2.0,1
521,12,31,1.0,1
522,12,32,2.0,1
523,12,33,1.0,1
524,12,34,1.0,1
525,12,35,1.0,1
526,12,36,2.0,1
527,12,37,1.0,1
528,12,38,1.0,1
529,12,39,1.0,1
530,12,40,1.0,1
531,12,41,2.0,1
532,12,42,1.0,1
533,12,43,1.0,1
534,12,44,2.0,1
535,12,45,2.0,1
536,12,46,1.0,1
537,12,47,1.0,1
538,12,48,1.0,1
539,12,49,1.0,1
540,13,5,1.0,1
541,13,6,2.0,1
542,13,7,1.0,1
543,13,8,2.0,1
544,13,9,1.0,1
545,13,10,1.0,1
546,13,11,2.0,1
547,13,12,1.0,1
548,13,13,2.0,1
549,13,14,1.0,1
550,13,15,1.0,1
551,13,16,1.0,1
552,13,17,2.0,1
553,13,18,1.0,1
554,13,19,1.0,1
555,13,20,2.0,1
556,13,21,1.0,1
557,13,22,1.0,1
558,13,23,1.0,1
559,13,24,1.0,1
560,13,25,2.0,1
561,13,26,1.0,1
562,13,27,1.0,1
563,13,28,1.0,1
564,13,29,1.0,1
565,13,30,1.0,1
566,13,31,2.0,1
567,13,32,1.0,1
568,13,33,2.0,1
569,13,34,2.0,1
570,13,35,2.0,1
571,13,36,2.0,1
572,13,37,1.0,1
573,13,38,2.0,1
574,13,39,1.0,1
575,13,40,1.0,1
576,13,41,1.0,1
577,13,42,1.0,1
578,13,43,1.0,1
579,13,44,1.0,1
580,13,45,2.0,1
581,13,46,2.0,1
582,13,47,1.0,1
583,13,48,1.0,1
584,13,49,2.0,1
585,14,5,2.0,1
586,14,6,1.0,1
587,14,7,2.0,1
588,14,8,2.0,1
589,14,9,1.0,1
590,14,10,2.0,1
591,14,11,2.0,1
592,14,12,2.0,1
593,14,13,1.0,1
594,14,14,1.0,1
595,14,15,2.0,1
596,14,16,1.0,1
597,14,17,2.0,1
598,14,18,2.0,1
599,14,19,2.0,1
600,14,20,1.0,1
601,14,21,2.0,1
602,14,22,2.0,1
603,14,23,2.0,1
604,14,24,2.0,1
605,14,25,1.0,1
606,14,26,1.0,1
607,14,27,2.0,1
608,14,28,2.0,1
609,14,29,2.0,1
610,14,30,1.0,1
611,14,31,1.0,1
612,14,32,2.0,1
613,14,33,1.0,1
614,14,34,1.0,1
615,14,35,2.0,1
616,14,36,1.0,1
617,14,37,2.0,1
618,14,38,2.0,1
619,14,39,1.0,1
620,14,40,2.0,1
621,14,41,2.0,1
622,14,42,1.0,1
623,14,43,1.0,1
624,14,44,1.0,1
625,14,45,2.0,1
626,14,46,1.0,1
627,14,47,1.0,1
628,14,48,1.0,1
629,14,49,1.0,1
630,15,5,1.0,1
631,15,6,2.0,1
632,15,7,2.0,1
633,15,8,1.0,1
634,15,9,2.0,1
635,15,10,1.0,1
636,15,11,2.0,1
637,15,12,1.0,1
638,15,13,2.0,1
639,15,14,1.0,1
640,15,15,2.0,1
641,15,16,2.0,1
642,15,17,2.0,1
643,15,18,2.0,1
644,15,19,2.0,1
645,15,20,2.0,1
646,15,21,2.0,1
647,15,22,2.0,1
648,15,23,2.0,1
649,15,24,2.0,1
650,15,25,1.0,1
651,15,26,1.0,1
652,15,27,2.0,1
653,15,28,1.0,1
654,15,29,1.0,1
655,15,30,2.0,1
656,15,31,2.0,1
657,15,32,2.0,1
658,15,33,2.0,1
659,15,34,2.0,1
660,15,35,2.0,1
661,15,36,1.0,1
662,15,37,2.0,1
663,15,38,1.0,1
664,15,39,2.0,1
665,15,40,1.0,1
666,15,41,1.0,1
667,15,42,1.0,1
668,15,43,2.0,1
669,15,44,2.0,1
670,15,45,2.0,1
671,15,46,1.0,1
